#time	V(u2)	V(v1)
1.588934734646201e-003	3.808219e-001	-3.828852e-001
1.591220448931915e-003	3.883219e-001	-3.912753e-001
1.593506163217629e-003	3.955672e-001	-3.995869e-001
1.595791877503343e-003	4.025576e-001	-4.078202e-001
1.598791877503343e-003	4.110255e-001	-4.184922e-001
1.601791877503343e-003	4.187865e-001	-4.290149e-001
1.604506163217628e-003	4.250798e-001	-4.384103e-001
1.607220448931914e-003	4.308932e-001	-4.476711e-001
1.609934734646199e-003	4.362269e-001	-4.567971e-001
1.612649020360485e-003	4.410808e-001	-4.657885e-001
1.615363306074770e-003	4.454549e-001	-4.746453e-001
1.618077591789056e-003	4.493492e-001	-4.833674e-001
1.620791877503341e-003	4.527637e-001	-4.919548e-001
1.624791877503341e-003	4.572104e-001	-5.043561e-001
1.628791877503341e-003	4.612692e-001	-5.164191e-001
1.632791877503340e-003	4.649403e-001	-5.281437e-001
1.636791877503340e-003	4.682235e-001	-5.395300e-001
1.640791877503340e-003	4.711190e-001	-5.505780e-001
1.644791877503339e-003	4.736266e-001	-5.612877e-001
1.648791877503339e-003	4.757464e-001	-5.716590e-001
1.657220448931910e-003	4.795939e-001	-5.923952e-001
1.665649020360480e-003	4.829746e-001	-6.113452e-001
1.674077591789051e-003	4.858887e-001	-6.285090e-001
1.682506163217622e-003	4.883362e-001	-6.438867e-001
1.690934734646193e-003	4.903169e-001	-6.574782e-001
1.699363306074763e-003	4.918309e-001	-6.692835e-001
1.707791877503334e-003	4.928783e-001	-6.793027e-001
1.723506163217618e-003	4.945604e-001	-6.925694e-001
1.739220448931903e-003	4.953683e-001	-6.990983e-001
1.754934734646187e-003	4.953019e-001	-6.988892e-001
1.770649020360471e-003	4.943614e-001	-6.919423e-001
1.786363306074756e-003	4.925466e-001	-6.782575e-001
1.802077591789040e-003	4.898576e-001	-6.578347e-001
1.817791877503325e-003	4.862944e-001	-6.306741e-001
1.823649020360467e-003	4.846483e-001	-6.190018e-001
1.829506163217609e-003	4.825935e-001	-6.065336e-001
1.835363306074752e-003	4.801300e-001	-5.932693e-001
1.841220448931894e-003	4.772577e-001	-5.792090e-001
1.847077591789036e-003	4.739768e-001	-5.643526e-001
1.852934734646179e-003	4.702870e-001	-5.487003e-001
1.858791877503321e-003	4.661886e-001	-5.322519e-001
1.861934734646178e-003	4.636810e-001	-5.231431e-001
1.865077591789035e-003	4.607803e-001	-5.138387e-001
1.868220448931892e-003	4.574864e-001	-5.043390e-001
1.871363306074749e-003	4.537994e-001	-4.946437e-001
1.874506163217606e-003	4.497191e-001	-4.847530e-001
1.877649020360462e-003	4.452458e-001	-4.746668e-001
1.880791877503319e-003	4.403793e-001	-4.643851e-001
1.884220448931890e-003	4.341906e-001	-4.529580e-001
1.887649020360462e-003	4.271227e-001	-4.413338e-001
1.891077591789033e-003	4.191754e-001	-4.295123e-001
1.894506163217604e-003	4.103488e-001	-4.174935e-001
1.897934734646175e-003	4.006429e-001	-4.052776e-001
1.901363306074746e-003	3.900577e-001	-3.928644e-001
1.904791877503317e-003	3.785931e-001	-3.802540e-001
1.907506163217603e-003	3.690892e-001	-3.701484e-001
1.910220448931888e-003	3.593854e-001	-3.599423e-001
1.912934734646174e-003	3.494817e-001	-3.496356e-001
1.915649020360459e-003	3.393781e-001	-3.392284e-001
1.918363306074745e-003	3.290745e-001	-3.287206e-001
1.921077591789030e-003	3.185710e-001	-3.181123e-001
1.923791877503316e-003	3.078676e-001	-3.074034e-001
1.931934734646173e-003	2.750763e-001	-2.745489e-001
1.940077591789030e-003	2.417730e-001	-2.411959e-001
1.948220448931888e-003	2.079578e-001	-2.073445e-001
1.956363306074745e-003	1.736306e-001	-1.729947e-001
1.964506163217602e-003	1.387915e-001	-1.381464e-001
1.972649020360460e-003	1.034405e-001	-1.027997e-001
1.980791877503317e-003	6.757749e-002	-6.695460e-002
1.983363306074746e-003	5.628173e-002	-5.565862e-002
1.985934734646175e-003	4.497877e-002	-4.435546e-002
1.988506163217604e-003	3.366861e-002	-3.304513e-002
1.991077591789033e-003	2.235124e-002	-2.172763e-002
1.993649020360462e-003	1.102668e-002	-1.040295e-002
1.996220448931890e-003	-3.050921e-004	9.289094e-004
1.998791877503319e-003	-1.164406e-002	1.226794e-002
1.999791877503320e-003	-1.605021e-002	1.667411e-002
2.000000000000000e-003	-1.696717e-002	1.759107e-002
